,Fruit and vegetables,"Meat, poultry and fish",Grocery food,Non-alcoholic beverages,Restaurant meals and ready-to-eat food,Alcoholic beverages,Cigarettes and tobacco,Clothing,Footwear,Actual rentals for housing,Home ownership,Property maintenance,Property rates and related services,Household energy,"Furniture, furnishings and floor coverings",Household textiles,Household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Other household supplies and services,"Medical products, appliances and equipment",Out-patient services,Hospital services,Purchase of vehicles,Private transport supplies and services,Passenger transport services,Postal services,Telecommunication equipment,Telecommunication services,Audio-visual and computing equipment,Major recreational and cultural equipment,Other recreational equipment and supplies,Recreational and cultural services,"Newspapers, books and stationery",Accommodation services,Early childhood education,Primary and secondary education,Tertiary and other post school education,Other educational fees,Personal care,Personal effects,Insurance,Credit services,Other miscellaneous services
1989Q1,..,514.583835,..,..,..,524.841469,117.319727,..,1070.836794,..,308.881392,..,..,297.38169,..,806.093183,..,908.709154,..,..,..,..,..,1095.413646,..,822.521623,474.54188,..,..,..,..,..,..,360.899778,..,561.256121,..,..,..,..,..,..,1342.148596,..
1989Q2,..,527.110218,..,..,..,526.915942,127.350781,..,1082.615999,..,313.116788,..,..,300.066178,..,814.960208,..,905.018964,..,..,..,..,..,1054.159217,..,824.924316,474.54188,..,..,..,..,..,..,364.112536,..,567.917914,..,..,..,..,..,..,1350.14551,..
1989Q3,..,580.723139,..,..,..,551.809608,134.001807,..,1104.032734,..,318.864826,..,..,306.926538,..,830.275979,..,897.638585,..,..,..,..,..,1056.330502,..,844.145853,493.267303,..,..,..,..,..,..,385.173947,..,585.682698,..,..,..,..,..,..,1352.811147,..
1989Q4,..,622.310733,..,..,..,561.144733,137.599902,..,1122.23696,..,324.612863,..,..,307.224815,..,842.367376,..,929.927743,..,..,..,..,..,1057.416145,..,855.358417,547.929782,..,..,..,..,..,..,391.242489,..,593.45479,..,..,..,..,..,..,1351.478328,..
1990Q1,..,616.298068,..,..,..,568.924004,139.344434,..,1125.449471,..,332.781127,..,..,308.417921,..,842.367376,..,933.617932,..,..,..,..,..,1066.101288,..,856.159314,514.218327,..,..,..,..,..,..,395.169194,..,599.561434,..,..,..,..,..,..,1388.797256,..
1990Q2,..,618.803345,..,..,..,575.147421,142.94253,..,1134.016165,..,338.529165,..,..,310.20758,..,850.428308,..,926.237553,..,..,..,..,..,1045.474073,..,882.588928,515.594499,..,..,..,..,..,..,399.809843,..,632.870404,..,..,..,..,..,..,1410.122358,..
1990Q3,..,626.319175,..,..,..,582.408073,144.578028,..,1126.520307,..,343.672146,..,..,311.997239,..,860.907519,..,918.857175,..,..,..,..,..,1016.161716,..,904.213158,515.594499,..,..,..,..,..,..,406.235358,..,633.980702,..,..,..,..,..,..,1435.445916,..
1990Q4,..,626.319175,..,..,..,580.333601,148.176123,..,1134.016165,..,344.277203,..,..,320.050705,..,873.805011,..,935.463027,..,..,..,..,..,1009.647859,..,928.24008,515.594499,..,..,..,..,..,..,413.731793,..,637.311599,..,..,..,..,..,..,1442.110011,..
1991Q1,..,622.811788,..,..,..,588.112872,149.920655,..,1134.016165,..,346.092373,..,..,327.805895,..,885.896409,..,941.920859,..,..,..,..,..,996.620145,..,941.855335,515.594499,..,..,..,..,..,..,416.587578,..,643.418244,..,..,..,..,..,..,1444.775648,..
1991Q2,..,617.801234,..,..,..,588.63149,153.736817,..,1146.866206,..,345.789844,..,..,330.490383,..,896.37562,..,929.005196,..,..,..,..,..,987.935002,..,963.479565,515.594499,..,..,..,..,..,..,428.724663,..,651.745486,..,..,..,..,..,..,1410.122358,..
