Region,Population,Year,Age
"Total, New Zealand by territorial authority/SA2",3732000,1996,"Total people, age"
Far North district,54500,1996,"Total people, age"
Whangarei district,68400,1996,"Total people, age"
Kaipara district,17800,1996,"Total people, age"
Auckland,1115800,1996,"Total people, age"
Rodney local board area,39000,1996,"Total people, age"
Hibiscus and Bays local board area,68000,1996,"Total people, age"
Upper Harbour local board area,24300,1996,"Total people, age"
Kaipatiki local board area,74700,1996,"Total people, age"
Devonport-Takapuna local board area,51600,1996,"Total people, age"
Henderson-Massey local board area,82200,1996,"Total people, age"
Waitakere Ranges local board area,42100,1996,"Total people, age"
Aotea/Great Barrier local board area,1230,1996,"Total people, age"
Waiheke local board area,6680,1996,"Total people, age"
Waitemata local board area,44900,1996,"Total people, age"
Whau local board area,59700,1996,"Total people, age"
Albert-Eden local board area,86100,1996,"Total people, age"
Puketapapa local board area,46100,1996,"Total people, age"
Orakei local board area,70900,1996,"Total people, age"
Maungakiekie-Tamaki local board area,61700,1996,"Total people, age"
Howick local board area,80900,1996,"Total people, age"
Mangere-Otahuhu local board area,61400,1996,"Total people, age"
Otara-Papatoetoe local board area,67800,1996,"Total people, age"
Manurewa local board area,60100,1996,"Total people, age"
Papakura local board area,38000,1996,"Total people, age"
Franklin local board area,48400,1996,"Total people, age"
Thames-Coromandel district,25400,1996,"Total people, age"
Hauraki district,18550,1996,"Total people, age"
Waikato district,52000,1996,"Total people, age"
Matamata-Piako district,30300,1996,"Total people, age"
Hamilton city,113500,1996,"Total people, age"
Waipa district,38400,1996,"Total people, age"
Otorohanga district,9960,1996,"Total people, age"
South Waikato district,25800,1996,"Total people, age"
Waitomo district,10000,1996,"Total people, age"
Taupo district,31600,1996,"Total people, age"
Western Bay of Plenty district,35400,1996,"Total people, age"
Tauranga city,80100,1996,"Total people, age"
Rotorua district,66600,1996,"Total people, age"
Whakatane district,34200,1996,"Total people, age"
Kawerau district,8120,1996,"Total people, age"
Opotiki district,9620,1996,"Total people, age"
Gisborne district,47200,1996,"Total people, age"
Wairoa district,10200,1996,"Total people, age"
Hastings district,68100,1996,"Total people, age"
Napier city,54900,1996,"Total people, age"
Central Hawke's Bay district,13350,1996,"Total people, age"
New Plymouth district,69700,1996,"Total people, age"
Stratford district,9750,1996,"Total people, age"
South Taranaki district,29800,1996,"Total people, age"
Ruapehu district,17300,1996,"Total people, age"
Whanganui district,46000,1996,"Total people, age"
Rangitikei district,16750,1996,"Total people, age"
Manawatu district,26800,1996,"Total people, age"
Palmerston North city,77100,1996,"Total people, age"
Tararua district,19500,1996,"Total people, age"
Horowhenua district,30800,1996,"Total people, age"
Kapiti Coast district,39400,1996,"Total people, age"
Porirua city,48200,1996,"Total people, age"
Upper Hutt city,37700,1996,"Total people, age"
Lower Hutt city,98800,1996,"Total people, age"
Wellington city,163400,1996,"Total people, age"
Masterton district,23300,1996,"Total people, age"
Carterton district,6940,1996,"Total people, age"
South Wairarapa district,9150,1996,"Total people, age"
Tasman district,38800,1996,"Total people, age"
Nelson city,41200,1996,"Total people, age"
Marlborough district,39200,1996,"Total people, age"
Kaikoura district,3590,1996,"Total people, age"
Buller district,10750,1996,"Total people, age"
Grey district,14000,1996,"Total people, age"
Westland district,8450,1996,"Total people, age"
Hurunui district,9620,1996,"Total people, age"
Waimakariri district,33000,1996,"Total people, age"
Christchurch city,325700,1996,"Total people, age"
Selwyn district,25500,1996,"Total people, age"
Ashburton district,25700,1996,"Total people, age"
Timaru district,43500,1996,"Total people, age"
Mackenzie district,4170,1996,"Total people, age"
Waimate district,7780,1996,"Total people, age"
Chatham Islands territory,760,1996,"Total people, age"
Waitaki district,22000,1996,"Total people, age"
Central Otago district,15250,1996,"Total people, age"
Queenstown-Lakes district,14800,1996,"Total people, age"
Dunedin city,120800,1996,"Total people, age"
Clutha district,18400,1996,"Total people, age"
Southland district,31200,1996,"Total people, age"
Gore district,13500,1996,"Total people, age"
Invercargill city,54200,1996,"Total people, age"
Area outside territorial authority,240,1996,"Total people, age"
"Total, New Zealand by territorial authority/SA2",3880500,2001,"Total people, age"
Far North district,56400,2001,"Total people, age"
Whangarei district,70000,2001,"Total people, age"
Kaipara district,17950,2001,"Total people, age"
Auckland,1218300,2001,"Total people, age"
Rodney local board area,44100,2001,"Total people, age"
Hibiscus and Bays local board area,75100,2001,"Total people, age"
Upper Harbour local board area,33700,2001,"Total people, age"
Kaipatiki local board area,78200,2001,"Total people, age"
Devonport-Takapuna local board area,52300,2001,"Total people, age"
Henderson-Massey local board area,90900,2001,"Total people, age"
Waitakere Ranges local board area,44200,2001,"Total people, age"
Aotea/Great Barrier local board area,1100,2001,"Total people, age"
Waiheke local board area,7560,2001,"Total people, age"
Waitemata local board area,52500,2001,"Total people, age"
Whau local board area,66200,2001,"Total people, age"
Albert-Eden local board area,90000,2001,"Total people, age"
Puketapapa local board area,49800,2001,"Total people, age"
Orakei local board area,73000,2001,"Total people, age"
Maungakiekie-Tamaki local board area,66400,2001,"Total people, age"
Howick local board area,97300,2001,"Total people, age"
Mangere-Otahuhu local board area,64600,2001,"Total people, age"
Otara-Papatoetoe local board area,70400,2001,"Total people, age"
Manurewa local board area,69100,2001,"Total people, age"
Papakura local board area,38900,2001,"Total people, age"
Franklin local board area,52900,2001,"Total people, age"
Thames-Coromandel district,25800,2001,"Total people, age"
Hauraki district,18000,2001,"Total people, age"
Waikato district,53700,2001,"Total people, age"
Matamata-Piako district,30300,2001,"Total people, age"
Hamilton city,121200,2001,"Total people, age"
Waipa district,40000,2001,"Total people, age"
Otorohanga district,9590,2001,"Total people, age"
South Waikato district,24200,2001,"Total people, age"
Waitomo district,9780,2001,"Total people, age"
Taupo district,32500,2001,"Total people, age"
Western Bay of Plenty district,38700,2001,"Total people, age"
Tauranga city,93800,2001,"Total people, age"
Rotorua district,66900,2001,"Total people, age"
Whakatane district,34100,2001,"Total people, age"
Kawerau district,7290,2001,"Total people, age"
Opotiki district,9490,2001,"Total people, age"
Gisborne district,45500,2001,"Total people, age"
Wairoa district,9260,2001,"Total people, age"
Hastings district,69600,2001,"Total people, age"
Napier city,55200,2001,"Total people, age"
Central Hawke's Bay district,13200,2001,"Total people, age"
New Plymouth district,68400,2001,"Total people, age"
Stratford district,9110,2001,"Total people, age"
South Taranaki district,28400,2001,"Total people, age"
Ruapehu district,15000,2001,"Total people, age"
Whanganui district,44400,2001,"Total people, age"
Rangitikei district,15500,2001,"Total people, age"
Manawatu district,26300,2001,"Total people, age"
