Region,Population,Year,Age
Far North District,74700,2023,"Total people, age"
Whangarei District,101800,2023,"Total people, age"
Kaipara District,27700,2023,"Total people, age"
Auckland,1692400,2023,"Total people, age"
Thames-Coromandel District,34000,2023,"Total people, age"
Hauraki District,22500,2023,"Total people, age"
Waikato District,91500,2023,"Total people, age"
Matamata-Piako District,37600,2023,"Total people, age"
Hamilton City,181500,2023,"Total people, age"
Waipa District,60900,2023,"Total people, age"
Otorohanga District,10800,2023,"Total people, age"
South Waikato District,26100,2023,"Total people, age"
Waitomo District,9720,2023,"Total people, age"
Taupo District,41700,2023,"Total people, age"
Western Bay of Plenty District,61000,2023,"Total people, age"
Tauranga City,161300,2023,"Total people, age"
Rotorua District,77000,2023,"Total people, age"
Whakatane District,38500,2023,"Total people, age"
Kawerau District,7900,2023,"Total people, age"
Opotiki District,10650,2023,"Total people, age"
Gisborne District,52000,2023,"Total people, age"
Wairoa District,9310,2023,"Total people, age"
Hastings District,91300,2023,"Total people, age"
Napier City,67000,2023,"Total people, age"
Central Hawke's Bay District,16000,2023,"Total people, age"
New Plymouth District,88300,2023,"Total people, age"
Stratford District,10250,2023,"Total people, age"
South Taranaki District,29600,2023,"Total people, age"
Ruapehu District,12850,2023,"Total people, age"
Whanganui District,48900,2023,"Total people, age"
Rangitikei District,16250,2023,"Total people, age"
Manawatu District,34200,2023,"Total people, age"
Palmerston North City,90600,2023,"Total people, age"
Tararua District,19100,2023,"Total people, age"
Horowhenua District,37500,2023,"Total people, age"
Kapiti Coast District,57800,2023,"Total people, age"
Porirua City,62100,2023,"Total people, age"
Upper Hutt City,48500,2023,"Total people, age"
Lower Hutt City,113200,2023,"Total people, age"
Wellington City,212000,2023,"Total people, age"
Masterton District,29700,2023,"Total people, age"
Carterton District,10400,2023,"Total people, age"
South Wairarapa District,11850,2023,"Total people, age"
Tasman District,59600,2023,"Total people, age"
Nelson City,54500,2023,"Total people, age"
Marlborough District,52000,2023,"Total people, age"
Kaikoura District,4150,2023,"Total people, age"
Buller District,9680,2023,"Total people, age"
Grey District,14200,2023,"Total people, age"
Westland District,8860,2023,"Total people, age"
Hurunui District,13750,2023,"Total people, age"
Waimakariri District,69100,2023,"Total people, age"
Christchurch City,390200,2023,"Total people, age"
Selwyn District,82900,2023,"Total people, age"
Ashburton District,36400,2023,"Total people, age"
Timaru District,48700,2023,"Total people, age"
Mackenzie District,5460,2023,"Total people, age"
Waimate District,8330,2023,"Total people, age"
Chatham Islands Territory,850,2023,"Total people, age"
Waitaki District,24300,2023,"Total people, age"
Central Otago District,26100,2023,"Total people, age"
Queenstown-Lakes District,50400,2023,"Total people, age"
Dunedin City,131100,2023,"Total people, age"
Clutha District,18750,2023,"Total people, age"
Southland District,32700,2023,"Total people, age"
Gore District,13000,2023,"Total people, age"
Invercargill City,56800,2023,"Total people, age"
Far North District,77700,2028,"Total people, age"
Whangarei District,107000,2028,"Total people, age"
Kaipara District,29400,2028,"Total people, age"
Auckland,1765500,2028,"Total people, age"
Thames-Coromandel District,34600,2028,"Total people, age"
Hauraki District,23100,2028,"Total people, age"
Waikato District,100700,2028,"Total people, age"
Matamata-Piako District,38600,2028,"Total people, age"
Hamilton City,194000,2028,"Total people, age"
Waipa District,63500,2028,"Total people, age"
Otorohanga District,11050,2028,"Total people, age"
South Waikato District,26900,2028,"Total people, age"
Waitomo District,9770,2028,"Total people, age"
Taupo District,43100,2028,"Total people, age"
Western Bay of Plenty District,64700,2028,"Total people, age"
Tauranga City,172700,2028,"Total people, age"
Rotorua District,78700,2028,"Total people, age"
Whakatane District,39100,2028,"Total people, age"
Kawerau District,7970,2028,"Total people, age"
Opotiki District,10850,2028,"Total people, age"
Gisborne District,53200,2028,"Total people, age"
Wairoa District,9470,2028,"Total people, age"
Hastings District,95000,2028,"Total people, age"
Napier City,68900,2028,"Total people, age"
Central Hawke's Bay District,16500,2028,"Total people, age"
New Plymouth District,91200,2028,"Total people, age"
Stratford District,10450,2028,"Total people, age"
