Region,Population,Year,Age,65 and over,Generation
"Total, New Zealand",294700,1996,0-4 Years,False,Millennial
Kaipatiki Local Board Area,6350,2018,0-4 Years,False,Other
Upper Harbour Local Board Area,3980,2018,0-4 Years,False,Other
Hibiscus And Bays Local Board Area,6020,2018,0-4 Years,False,Other
Rodney Local Board Area,4210,2018,0-4 Years,False,Other
Auckland,107440,2018,0-4 Years,False,Other
Kaipara District,1470,2018,0-4 Years,False,Other
Whangarei District,6110,2018,0-4 Years,False,Other
Far North District,4490,2018,0-4 Years,False,Other
"Total, New Zealand",305030,2018,0-4 Years,False,Other
Area Outside Territorial Authority,0,2013,0-4 Years,False,Other
Invercargill City,3660,2013,0-4 Years,False,Other
Gore District,810,2013,0-4 Years,False,Other
Southland District,2230,2013,0-4 Years,False,Other
Clutha District,1150,2013,0-4 Years,False,Other
Dunedin City,6690,2013,0-4 Years,False,Other
Queenstown-Lakes District,2160,2013,0-4 Years,False,Other
Central Otago District,1120,2013,0-4 Years,False,Other
Waitaki District,1280,2013,0-4 Years,False,Other
Chatham Islands Territory,40,2013,0-4 Years,False,Other
Waimate District,480,2013,0-4 Years,False,Other
Mackenzie District,290,2013,0-4 Years,False,Other
Timaru District,2690,2013,0-4 Years,False,Other
Ashburton District,2420,2013,0-4 Years,False,Other
Selwyn District,3200,2013,0-4 Years,False,Other
Christchurch City,22440,2013,0-4 Years,False,Other
Waimakariri District,3090,2013,0-4 Years,False,Other
Hurunui District,780,2013,0-4 Years,False,Other
Westland District,540,2013,0-4 Years,False,Other
Grey District,970,2013,0-4 Years,False,Other
Devonport-Takapuna Local Board Area,3090,2018,0-4 Years,False,Other
Henderson-Massey Local Board Area,10010,2018,0-4 Years,False,Other
Waitakere Ranges Local Board Area,3700,2018,0-4 Years,False,Other
Aotea/great Barrier Local Board Area,50,2018,0-4 Years,False,Other
Gisborne District,3720,2018,0-4 Years,False,Other
Opotiki District,720,2018,0-4 Years,False,Other
Kawerau District,600,2018,0-4 Years,False,Other
Whakatane District,2610,2018,0-4 Years,False,Other
Rotorua District,5190,2018,0-4 Years,False,Other
Tauranga City,9070,2018,0-4 Years,False,Other
Western Bay of Plenty District,2850,2018,0-4 Years,False,Other
Taupo District,2500,2018,0-4 Years,False,Other
Waitomo District,690,2018,0-4 Years,False,Other
South Waikato District,1900,2018,0-4 Years,False,Other
Otorohanga District,780,2018,0-4 Years,False,Other
Waipa District,3470,2018,0-4 Years,False,Other
Hamilton City,12070,2018,0-4 Years,False,Other
Matamata-Piako District,2280,2018,0-4 Years,False,Other
Buller District,700,2013,0-4 Years,False,Other
Waikato District,5510,2018,0-4 Years,False,Other
Thames-Coromandel District,1360,2018,0-4 Years,False,Other
Franklin Local Board Area,4910,2018,0-4 Years,False,Other
Papakura Local Board Area,5260,2018,0-4 Years,False,Other
Manurewa Local Board Area,8690,2018,0-4 Years,False,Other
Otara-Papatoetoe Local Board Area,7540,2018,0-4 Years,False,Other
Mangere-Otahuhu Local Board Area,7060,2018,0-4 Years,False,Other
Howick Local Board Area,8820,2018,0-4 Years,False,Other
Maungakiekie-Tamaki Local Board Area,5990,2018,0-4 Years,False,Other
Orakei Local Board Area,4370,2018,0-4 Years,False,Other
Puketapapa Local Board Area,3530,2018,0-4 Years,False,Other
Albert-Eden Local Board Area,4940,2018,0-4 Years,False,Other
Whau Local Board Area,5700,2018,0-4 Years,False,Other
Waitemata Local Board Area,2800,2018,0-4 Years,False,Other
Waiheke Local Board Area,420,2018,0-4 Years,False,Other
Hauraki District,1200,2018,0-4 Years,False,Other
Kaikoura District,210,2013,0-4 Years,False,Other
