Region,Population,Year,Age,65 and over,Generation
Tararua District,1190,2023,0-4 Years,False,Other
Palmerston North City,5600,2023,0-4 Years,False,Other
Manawatu District,2060,2023,0-4 Years,False,Other
Rangitikei District,1040,2023,0-4 Years,False,Other
Whanganui District,2810,2023,0-4 Years,False,Other
Ruapehu District,850,2023,0-4 Years,False,Other
South Taranaki District,1920,2023,0-4 Years,False,Other
Stratford District,700,2023,0-4 Years,False,Other
New Plymouth District,5220,2023,0-4 Years,False,Other
Central Hawke's Bay District,950,2023,0-4 Years,False,Other
Napier City,3830,2023,0-4 Years,False,Other
Hastings District,5530,2023,0-4 Years,False,Other
Wairoa District,660,2023,0-4 Years,False,Other
Gisborne District,3630,2023,0-4 Years,False,Other
Horowhenua District,2160,2023,0-4 Years,False,Other
Opotiki District,760,2023,0-4 Years,False,Other
Whakatane District,2580,2023,0-4 Years,False,Other
Rotorua District,5350,2023,0-4 Years,False,Other
Tauranga City,9740,2023,0-4 Years,False,Other
Western Bay of Plenty District,3240,2023,0-4 Years,False,Other
Taupo District,2410,2023,0-4 Years,False,Other
Waitomo District,660,2023,0-4 Years,False,Other
South Waikato District,1840,2023,0-4 Years,False,Other
Otorohanga District,680,2023,0-4 Years,False,Other
Waipa District,3700,2023,0-4 Years,False,Other
Hamilton City,12760,2023,0-4 Years,False,Other
Matamata-Piako District,2370,2023,0-4 Years,False,Other
Waikato District,5940,2023,0-4 Years,False,Other
Hauraki District,1180,2023,0-4 Years,False,Other
Thames-Coromandel District,1310,2023,0-4 Years,False,Other
Kawerau District,520,2023,0-4 Years,False,Other
Franklin Local Board Area,5080,2023,0-4 Years,False,Other
Kapiti Coast District,2690,2023,0-4 Years,False,Other
Upper Hutt City,3030,2023,0-4 Years,False,Other
Area Outside Territorial Authority,0,2023,0-4 Years,False,Other
Invercargill City,3120,2023,0-4 Years,False,Other
Gore District,670,2023,0-4 Years,False,Other
Southland District,1870,2023,0-4 Years,False,Other
Clutha District,1140,2023,0-4 Years,False,Other
Dunedin City,5850,2023,0-4 Years,False,Other
Queenstown-Lakes District,2590,2023,0-4 Years,False,Other
Central Otago District,1300,2023,0-4 Years,False,Other
Waitaki District,1090,2023,0-4 Years,False,Other
Chatham Islands Territory,40,2023,0-4 Years,False,Other
Waimate District,420,2023,0-4 Years,False,Other
Mackenzie District,310,2023,0-4 Years,False,Other
Timaru District,2460,2023,0-4 Years,False,Other
Ashburton District,2150,2023,0-4 Years,False,Other
Porirua City,4210,2023,0-4 Years,False,Other
Selwyn District,5260,2023,0-4 Years,False,Other
Waimakariri District,3640,2023,0-4 Years,False,Other
Hurunui District,730,2023,0-4 Years,False,Other
Westland District,380,2023,0-4 Years,False,Other
Grey District,790,2023,0-4 Years,False,Other
Buller District,430,2023,0-4 Years,False,Other
Kaikoura District,220,2023,0-4 Years,False,Other
Marlborough District,2540,2023,0-4 Years,False,Other
Nelson City,2610,2023,0-4 Years,False,Other
Tasman District,2600,2023,0-4 Years,False,Other
South Wairarapa District,600,2023,0-4 Years,False,Other
Carterton District,560,2023,0-4 Years,False,Other
Masterton District,1660,2023,0-4 Years,False,Other
Wellington City,8790,2023,0-4 Years,False,Other
Lower Hutt City,7040,2023,0-4 Years,False,Other
Christchurch City,21500,2023,0-4 Years,False,Other
Papakura Local Board Area,6890,2023,0-4 Years,False,Other
Otara-Papatoetoe Local Board Area,7600,2023,0-4 Years,False,Other
Manurewa Local Board Area,8860,2023,0-4 Years,False,Other
Mangere-Otahuhu Local Board Area,6600,2023,0-4 Years,False,Other
Howick Local Board Area,8110,2023,0-4 Years,False,Other
Maungakiekie-Tamaki Local Board Area,5440,2023,0-4 Years,False,Other
Orakei Local Board Area,3530,2023,0-4 Years,False,Other
Puketapapa Local Board Area,3250,2023,0-4 Years,False,Other
Albert-Eden Local Board Area,4330,2023,0-4 Years,False,Other
Whau Local Board Area,5300,2023,0-4 Years,False,Other
Waitemata Local Board Area,2570,2023,0-4 Years,False,Other
Waiheke Local Board Area,340,2023,0-4 Years,False,Other
Aotea/great Barrier Local Board Area,50,2023,0-4 Years,False,Other
Waitakere Ranges Local Board Area,3450,2023,0-4 Years,False,Other
Henderson-Massey Local Board Area,9350,2023,0-4 Years,False,Other
Devonport-Takapuna Local Board Area,2560,2023,0-4 Years,False,Other
Kaipatiki Local Board Area,5650,2023,0-4 Years,False,Other
Upper Harbour Local Board Area,4450,2023,0-4 Years,False,Other
Rodney Local Board Area,4900,2023,0-4 Years,False,Other
Auckland,104260,2023,0-4 Years,False,Other
Kaipara District,1600,2023,0-4 Years,False,Other
Whangarei District,6040,2023,0-4 Years,False,Other
Far North District,4490,2023,0-4 Years,False,Other
"Total, New Zealand",301870,2023,0-4 Years,False,Other
Hibiscus And Bays Local Board Area,5950,2023,0-4 Years,False,Other
Area Outside Territorial Authority,0,2023,5-9 Years,False,Other
Tararua District,1280,2023,5-9 Years,False,Other
Palmerston North City,6000,2023,5-9 Years,False,Other
Manawatu District,2300,2023,5-9 Years,False,Other
Rangitikei District,1050,2023,5-9 Years,False,Other
Whanganui District,3000,2023,5-9 Years,False,Other
Ruapehu District,890,2023,5-9 Years,False,Other
South Taranaki District,2090,2023,5-9 Years,False,Other
Stratford District,690,2023,5-9 Years,False,Other
New Plymouth District,5860,2023,5-9 Years,False,Other
Central Hawke's Bay District,1160,2023,5-9 Years,False,Other
Napier City,4200,2023,5-9 Years,False,Other
Hastings District,6050,2023,5-9 Years,False,Other
Wairoa District,690,2023,5-9 Years,False,Other
Gisborne District,3870,2023,5-9 Years,False,Other
Horowhenua District,2190,2023,5-9 Years,False,Other
Opotiki District,800,2023,5-9 Years,False,Other
Whakatane District,2790,2023,5-9 Years,False,Other
Rotorua District,5380,2023,5-9 Years,False,Other
Tauranga City,10490,2023,5-9 Years,False,Other
Western Bay of Plenty District,3380,2023,5-9 Years,False,Other
Taupo District,2720,2023,5-9 Years,False,Other
Waitomo District,660,2023,5-9 Years,False,Other
South Waikato District,1970,2023,5-9 Years,False,Other
Otorohanga District,760,2023,5-9 Years,False,Other
Waipa District,4040,2023,5-9 Years,False,Other
Hamilton City,12470,2023,5-9 Years,False,Other
Matamata-Piako District,2380,2023,5-9 Years,False,Other
Waikato District,6830,2023,5-9 Years,False,Other
Hauraki District,1390,2023,5-9 Years,False,Other
Thames-Coromandel District,1570,2023,5-9 Years,False,Other
Kawerau District,630,2023,5-9 Years,False,Other
Franklin Local Board Area,5880,2023,5-9 Years,False,Other
Kapiti Coast District,3120,2023,5-9 Years,False,Other
Upper Hutt City,3050,2023,5-9 Years,False,Other
Invercargill City,3550,2023,5-9 Years,False,Other
Gore District,730,2023,5-9 Years,False,Other
Southland District,2220,2023,5-9 Years,False,Other
Clutha District,1130,2023,5-9 Years,False,Other
Dunedin City,6580,2023,5-9 Years,False,Other
Queenstown-Lakes District,2530,2023,5-9 Years,False,Other
Central Otago District,1350,2023,5-9 Years,False,Other
Waitaki District,1400,2023,5-9 Years,False,Other
Chatham Islands Territory,30,2023,5-9 Years,False,Other
Waimate District,460,2023,5-9 Years,False,Other
Mackenzie District,280,2023,5-9 Years,False,Other
Timaru District,2860,2023,5-9 Years,False,Other
Ashburton District,2380,2023,5-9 Years,False,Other
Porirua City,4610,2023,5-9 Years,False,Other
Selwyn District,5810,2023,5-9 Years,False,Other
Waimakariri District,4070,2023,5-9 Years,False,Other
Hurunui District,850,2023,5-9 Years,False,Other
Westland District,500,2023,5-9 Years,False,Other
Grey District,830,2023,5-9 Years,False,Other
Buller District,440,2023,5-9 Years,False,Other
Kaikoura District,220,2023,5-9 Years,False,Other
Marlborough District,2820,2023,5-9 Years,False,Other
Nelson City,2960,2023,5-9 Years,False,Other
Tasman District,3090,2023,5-9 Years,False,Other
South Wairarapa District,660,2023,5-9 Years,False,Other
Carterton District,550,2023,5-9 Years,False,Other
Masterton District,1790,2023,5-9 Years,False,Other
Wellington City,9590,2023,5-9 Years,False,Other
Lower Hutt City,7280,2023,5-9 Years,False,Other
Christchurch City,20840,2023,5-9 Years,False,Other
Papakura Local Board Area,6160,2023,5-9 Years,False,Other
Otara-Papatoetoe Local Board Area,7710,2023,5-9 Years,False,Other
Manurewa Local Board Area,9100,2023,5-9 Years,False,Other
Mangere-Otahuhu Local Board Area,7250,2023,5-9 Years,False,Other
Howick Local Board Area,10140,2023,5-9 Years,False,Other
Maungakiekie-Tamaki Local Board Area,5050,2023,5-9 Years,False,Other
Orakei Local Board Area,4870,2023,5-9 Years,False,Other
Puketapapa Local Board Area,3400,2023,5-9 Years,False,Other
Albert-Eden Local Board Area,4840,2023,5-9 Years,False,Other
Whau Local Board Area,5060,2023,5-9 Years,False,Other
